concentration,dG,dH,TdS
0.22651,-0.04284,-0.4074741288148802,-0.31605531173111806
0.4,-0.0762109327042989,-0.39858,-0.32081
0.44334,-0.0937,-0.45111926148378484,-0.41665514148757044
0.68007,-0.12576,-0.7335343316444651,-0.6184069463058934
0.8,-0.18065522098971334,-0.86658,-0.7036
0.90578,-0.20354,-0.9319628273188968,-0.7661155953789
1.14746,-0.22236,-1.1029666921932066,-0.835337947734546
1.2,-0.22869413396488403,-1.12813,-0.83692
1.37711,-0.27948,-1.139468326949907,-0.8260879058017473
1.61923,-0.37052,-1.1365649684362,-0.8377556575761649
