concentration,dG,dH,TdS
0.50086,-0.29763,-3.4312353946623606,-2.764225615000578
0.99967,-0.43983,-3.367350149031824,-2.800342569264484
1.26639,-0.49673220032974413,-3.4228,-2.78357
1.50328,-0.54424,-3.8247395060549385,-3.255783898901872
2.00414,-0.64382,-4.849365674054861,-3.9274609256063777
2.26212,-0.7463420445712863,-5.1625,-4.35525
2.50585,-0.84241,-5.503070138648369,-4.650272300884142
2.99193,-0.85402,-6.067179403420405,-5.128370488068648
3.50536,-1.11126,-6.513001718937996,-5.386027178752564
3.75864,-1.2252246577172656,-6.79886,-5.45652
4.02097,-1.32717,-6.8543046609849005,-5.456625054608735
