concentration,dG,dH,TdS
0.23633,-0.15058,-1.1413879690413782,-0.6385123578527349
0.4,-0.19459976041579732,-1.05416,-0.6111
0.42002,-0.20932,-1.0799119757623787,-0.6416466229672351
0.56689,-0.34106,-1.4174955692224878,-0.9491895418597511
0.687,-0.40386,-1.7312301700773869,-1.2151842691533339
0.78705,-0.48333,-1.9440634611645855,-1.3747523382700817
0.78913,-0.48364,-1.9900174243051703,-1.3406800621366388
0.8,-0.502710917595457,-1.95306,-1.4021
0.95123,-0.61465,-2.3053767423327742,-1.6004580112492128
1.07308,-0.65249,-2.570574709470439,-1.760718629900257
1.16802,-0.777,-2.6752640448944764,-1.9110714246707523
1.2,-0.8107192265326432,-2.73265,-1.8783
1.24408,-0.82657,-2.732200876790077,-1.8019804962251045
1.30637,-0.7724,-2.7375064682543186,-1.8775033785358908
