concentration,dG,dH,TdS
0.4946,0.47362,3.8765551983587274,2.606222027354494
0.93566,0.93383,3.4850758048378108,2.6666002304848986
1.37841,1.17038,4.42851923711227,3.2745153800328657
1.7472,1.362669732384818,4.08158,2.90699
1.78752,1.3154,4.124048281919249,3.2054924247892957
2.17867,1.08465,5.796533003268796,4.1133692406119335
2.5619,1.72765,7.349752900692156,5.71655975694693
3.28139,1.89863,9.749426056115047,7.4376968702956985
3.50872,2.2580765255554187,10.45881,8.01613
3.97407,2.89222,11.242595048267102,8.970763591722996
4.25974,1.98155,12.561256784305213,9.475982391920493
5.03342,1.9616382218471557,14.21102,10.74982
