concentration,dG,dH,TdS
0.16483,-0.21341,-1.7221506369929205,-1.2865279583411406
0.29679,-0.52468,-1.8326359504616758,-1.1930537004353958
0.34045,-0.50203,-1.7555846498112506,-1.3556571334087821
0.4,-0.5877060241609883,-1.83336,-1.27855
0.51656,-0.89785,-2.4162990087337692,-1.7419629917825568
0.5974,-0.86793,-2.828381160678821,-1.923615323792764
0.6,-0.8658107026613715,-2.77556,-1.88368
0.68591,-1.29804,-3.048120740701444,-1.9473135224999478
0.8,-1.3194890940356068,-3.35264,-2.08214
0.82597,-1.47944,-3.3288726203928736,-2.132950601005126
0.87377,-1.56569,-3.667959120617171,-2.233520588579102
0.95904,-1.81451,-3.9647046364297185,-2.4028450688802527
1.07015,-1.96279,-4.496254773236046,-2.882044948550002
