Cosolute,MW,Concentration_gL,dG,ddG
400 PEG,400,100,1.0114948979983458,0.1892435255881849
400 PEG,400,200,1.2476416058160076,0.457351431787441
400 PEG,400,300,1.4435164095850366,0.623204500934125
1000 PEG,1000,25,0.8759000000000000,0.062410000000000005
1000 PEG,1000,50,0.9320700000000000,0.11858000000000001
1000 PEG,1000,100,1.0331285840625302,0.21087721165236928
1000 PEG,1000,200,1.2079408944696712,0.41765072044110463
1000 PEG,1000,300,1.2929190550614007,0.4726071464104893
3350 PEG,3350,100,1.0514307720997544,0.22917939968959364
3350 PEG,3350,200,1.2442790380109854,0.45398886398241894
3350 PEG,3350,300,1.4269106034951875,0.6065986948442762
8000 PEG,8000,100,1.0635627338164824,0.24131136140632148
8000 PEG,8000,200,1.2725131811921726,0.4822230071636063
8000 PEG,8000,300,1.4302955703546252,0.6099836617037139
20000 PEG,20000,100,1.0657160007337907,0.2434646283236298
20000 PEG,20000,200,1.295680443612629,0.5053902695840625
20000 PEG,20000,300,1.42093683901199,0.6006249303610788
