phiC,phiCsurf,phiS,phiSsurf,molar,molal,osm,gamma_per_vol,gamma,gammaC_per_vol,gammaC,ddA_nu,ddA_chi,ddA_eps,ddA,ddE_chi,ddE_eps,ddE,TddS_nu,TddS_chi,TddS_eps,TddS,ddA_nu_kJ,ddA_chi_kJ,ddA_eps_kJ,ddA_kJ,ddE_chi_kJ,ddE_eps_kJ,ddE_kJ,TddS_nu_kJ,TddS_chi_kJ,TddS_eps_kJ,TddS_kJ
0.0001,0.00021721862236257438,0.9999,0.9997827813776374,0.0022410470171664205,0.002241271144280848,0.002241195369019049,1.1721862236257439,39.86258104696945,-4.72893688572465e-05,-0.0016081713474683267,-0.001120682964960027,1.0887243823549334e-07,0.0027290428370005133,0.0016084687444787218,-1.1541412980332583e-07,0.0010916171348002055,0.0010915017206704022,0.001120682964960027,-2.2428656803881917e-07,-0.0016374257022003077,-0.0005169670238083196,-0.002776572734861944,2.697393045439877e-07,0.006761400119753036,0.003985097124195636,-2.859468164050856e-07,0.002704560047901215,0.00270427410108481,0.002776572734861944,-5.556861209490733e-07,-0.004056840071851821,-0.0012808230231108261
0.0011,0.0023845543307603654,0.9989,0.9976154456692397,0.024651517188830626,0.024678663718921433,0.024669490190664164,1.167776664327605,39.712624997870215,-0.0005187450167594054,-0.01764098131892529,-0.01229472014715105,1.3074638160609243e-05,0.02995853138658587,0.01767688587759543,-1.3860238736781908e-05,0.011983412554634348,0.011969552315897566,0.01229472014715105,-2.693487689739115e-05,-0.017975118831951523,-0.005707333561697864,-0.030461054384417322,3.239335741685696e-05,0.07422441852452633,0.04379575749752586,-3.4339739407566226e-05,0.029689767409810528,0.02965542767040296,0.030461054384417322,-6.673309682442318e-05,-0.0445346511147158,-0.014140329827122902
0.0021,0.004543110664509724,0.9979,0.9954568893354903,0.04706198736049483,0.047161025514074376,0.04712757413106141,1.1633860307189163,39.56331255540477,-0.0009875966089941454,-0.03358523507124138,-0.023409213106152016,4.729453961986829e-05,0.05707771958882044,0.0337158010222883,-5.01362716141929e-05,0.02283108783552818,0.02278095156391399,0.023409213106152016,-9.743081123406119e-05,-0.03424663175329226,-0.010934849458374307,-0.05799801093383527,0.00011717562711507633,0.14141415987711303,0.08353332457039284,-0.00012421622273571913,0.056565663950845224,0.0564414477281095,0.05799801093383527,-0.00024139184985079546,-0.08484849592626781,-0.027091876842283334
0.0031,0.006692944197495762,0.9969,0.9933070558025042,0.06947245753215903,0.06968849185691547,0.06961555883653438,1.1590142572566977,39.41464149065054,-0.0014538592013198812,-0.04944144460615996,-0.03446427752340392,0.0001022882309540695,0.0840873182140528,0.049725328921602946,-0.00010843430491697378,0.03363492728562112,0.03352649298070415,0.03446427752340392,-0.00021072253587104328,-0.05045239092843168,-0.016198835940898805,-0.08538772899221489,0.00025342645694133585,0.20833238516222724,0.12319808262695368,-0.0002686537977017566,0.08333295406489089,0.08306430026718913,0.08538772899221489,-0.0005220802546430925,-0.12499943109733636,-0.04013378235976456
0.0041,0.008834111238831682,0.9959,0.9911658887611683,0.09188292770382324,0.09226119861815767,0.09213355628955604,1.1546612777638248,39.26660955311956,-0.0019175478027203515,-0.0652101203347562,-0.045460033634563364,0.000177583102953687,0.11098803470614925,0.06570558417453957,-0.00018825333231571923,0.0443952138824597,0.04420696055014398,0.045460033634563364,-0.00036583643526940626,-0.06659282082368956,-0.0214986236243956,-0.11263050645205241,0.0004399749235511722,0.2749808471229836,0.16279031559448237,-0.00046641118505212116,0.10999233884919343,0.1095259276641413,0.11263050645205241,-0.0009063861086032934,-0.16498850827379016,-0.05326438793034104
0.0051,0.010966667829827902,0.9949,0.9890333321701721,0.11429339787548745,0.11487928221478282,0.11468167881009932,1.1503270254564508,39.11921447169104,-0.0023786773739406593,-0.0808917710276522,-0.05639660609343872,0.00027271418106933733,0.13778057314441527,0.08165668123204589,-0.00028910044087607716,0.055112229257766106,0.05482312881689003,0.05639660609343872,-0.0005618146219454145,-0.08266834388664918,-0.02683355241515587,-0.13972665215213315,0.0006756690190203202,0.34136129016655525,0.20231030703344244,-0.0007162671575022243,0.1365445160666221,0.13582824890911988,0.13972665215213315,-0.0013919361765225445,-0.20481677409993315,-0.06648205812432256
0.0061,0.013090669741121571,0.9939,0.9869093302588784,0.13670386804715165,0.13754287961278966,0.13726003905699477,1.1460114329707491,38.972453955520784,-0.0028372628260795734,-0.09648690376714528,-0.06727412383867137,0.00038722402415883826,0.164465634207532,0.09757873439301945,-0.0004104907037220155,0.0657862536830128,0.06537576297929079,0.06727412383867137,-0.0007977147278808538,-0.09867938052451919,-0.03220297141372867,-0.16667648554722472,0.0009593753999832613,0.40747545027482346,0.241758340127582,-0.0010170202738019613,0.16299018010992938,0.16197315983612742,0.16667648554722472,-0.0019763956737852226,-0.24448527016489408,-0.07978518029145457
0.0071,0.015206172469963445,0.9929,0.9847938275300365,0.15911433821881585,0.16025212832995853,0.15986875002929507,1.1417144323892179,38.826325694935754,-0.0032933190192372484,-0.11199602390122097,-0.07809271996308238,0.0005206626239934932,0.19104391513946953,0.11347185780038063,-0.0005519470735038029,0.07641756605578783,0.07586561898228403,0.07809271996308238,-0.001072609697497296,-0.1146263490836817,-0.03760623881809662,-0.19348033638437395,0.001289979138652807,0.47332505491992577,0.2811346976742046,-0.0013674886147949639,0.18933002196797033,0.18796253335317537,0.19348033638437395,-0.002657467753447771,-0.28399503295195544,-0.09317216432102926
0.0081,0.017313231237654093,0.9919,0.982686768762346,0.18152480839048005,0.18300716643863296,0.18250792506764618,1.1374359552659372,38.68082736229297,-0.0037468607612154993,-0.12741963499935322,-0.08885253158565004,0.0006725873055415997,0.21751610971727675,0.1293361654371683,-0.000713000276690044,0.0870064438869107,0.08629344361022066,0.08885253158565004,-0.0013855875822316437,-0.13050966583036605,-0.043042721826947655,-0.22013854438572217,0.0016663834757653124,0.5389118229844528,0.320439662074496,-0.0017665095215195056,0.2155647291937811,0.21379821967226162,0.22013854438572217,-0.003432892997284818,-0.3233470937906717,-0.10664144240223439
0.0091,0.019411900987131723,0.9909,0.9805880990128683,0.20393527856214427,0.2058081325685177,0.20517767785566574,1.1331759326518378,38.53595661283885,-0.004197902806271936,-0.14275823881013613,-0.09955369972612536,0.0008425626280470251,0.24388290822077552,0.1451717711226972,-0.0008931887087022299,0.09755316328831021,0.09665997457960798,0.09955369972612536,-0.001735751336749255,-0.1463297449324653,-0.04851179654308921,-0.2466514589378559,0.0020875095754957244,0.6042374646863632,0.35967351532400305,-0.002212939335396801,0.24169498587454533,0.23948204653914854,0.2466514589378559,-0.004300448910892526,-0.3625424788118179,-0.12019146878485451
